Hrac,Vek,Prumerny_cas_na_lede_min
Oskar Sundqvist,25,14.36
Esa Lindell,25,23.45
Chandler Stephenson,25,14.45
Shayne Gostisbehere,26,18.23
Mackenzie MacEachern,25,8.94
Devin Shore,25,11.65
Jujhar Khaira,25,12.53
Adam Pelech,25,21.13
Jimmy Vesey,26,13.8
Chris Tierney,25,17.19
Jordan Martinook,27,11.26
Boo Nieves,25,7.53
Damon Severson,25,22.96
Martin Frk,26,13.84
Colton Sissons,26,14.33
Teddy Blueger,25,15.81
Jake McCabe,26,18.53
Brock McGinn,25,13.2
Connor Carrick,25,14.41
Nikolai Prokhorkin,26,12.11
Charles Hudon,25,11.54
Dominic Toninato,25,11.14
Trevor Carrick,25,5.79
Jaccob Slavin,25,23.41
Andreas Athanasiou,25,15.84
Gemel Smith,25,9.17
Brett Kulak,25,17.14
Thomas Di Pauli,25,5.98
Cedric Paquette,26,13.04
Erik Gustafsson,27,20.38
Josh Anderson,25,16.06
Paul LaDue,27,12.8
Jake Bischoff,25,15.6
Matt Benning,25,13.23
Vinnie Hinostroza,25,13.11
Riley Barber,25,8.26
Joseph Blandisi,25,8.21
Connor Brown,25,20.11
Ben Hutton,26,18.27
Alexander Kerfoot,25,14.77
Nikita Gusev,27,14.69
Christian Djoos,25,19.1
Joakim Ryan,26,19.13
Kurtis MacDermid,25,13.7
Ashton Sautner,25,2.82
Jayson Megna,29,6.71
Scott Sabourin,27,7.01
Buddy Robinson,28,12.24
Tim Schaller,29,11.56
Danny DeKeyser,29,22.06
Nate Schmidt,28,21.83
Carter Rowney,30,12.82
Chad Ruhwedel,29,14.77
Michael Raffl,31,12.34
Anton Blidh,24,11.52
Dominik Kubalik,24,14.37
John Gilmour,26,17.04
Andreas Johnsson,25,15.75
Tyler Lewington,25,10.16
MacKenzie Weegar,25,20.12
Tyler Motte,24,13.12
Will Butcher,24,17.92
Tucker Poolman,26,17.45
Connor Clifton,24,14.46
Luke Johnson,25,11.58
Carson Soucy,25,15.63
Jonny Brodzinski,26,7.4
Josh Brown,25,13.42
John Hayden,24,9.72
Pavel Buchnevich,24,16.93
Jake Guentzel,25,20.63
Mattias Janmark,27,14.66
Anthony Duclair,24,16.26
Carter Verhaeghe,24,9.36
Oliver Bjorkstrand,24,17.94
Peter Cehlarik,24,11.27
Miles Wood,24,13.23
Nick Paul,24,14.44
Andrew Copp,25,17.7
Ryan Graves,24,18.96
Andre Burakovsky,24,15.09
Shea Theodore,24,22.31
Marko Dano,25,7.17
Jason Dickinson,24,15.05
Ryan Hartman,25,12.26
Adam Erne,24,11.82
Jacob de la Rose,24,10.72
J.T. Compher,24,16.56
Valentin Zykov,24,12.21
Robert Hagg,24,15.58
Steven Santini,24,9.55
Nic Petan,24,11.12
Gustav Olofsson,25,8.11
Carl Dahlstrom,24,14.76
Justin Bailey,24,5.32
Madison Bowey,24,17.91
Artturi Lehkonen,24,15.43
William Carrier,25,9.81
Tyler Bertuzzi,24,19.31
Zach Sanford,25,13.79
Brett Pesce,25,21.88
Nathan MacKinnon,24,21.27
Aleksander Barkov,24,20.02
Jonathan Drouin,24,15.7
Seth Jones,25,25.28
Elias Lindholm,25,19.73
Sean Monahan,25,18.08
Darnell Nurse,24,23.45
Rasmus Ristolainen,25,22.8
Bo Horvat,24,19.73
Valeri Nichushkin,24,14.09
Samuel Morin,24,12.53
Max Domi,24,17.1
Josh Morrissey,24,22.77
Alexander Wennberg,25,16.68
Ryan Pulock,25,22.41
Nikita Zadorov,24,17.63
Curtis Lazar,24,11.83
Mirco Mueller,24,17.64
Anthony Mantha,25,18.89
Frederik Gauthier,24,9.39
Jean-Sebastien Dea,25,7.63
Ross Johnston,25,7.99
Colby Cave,25,9.64
Dakota Mermis,25,19.22
Nathan Walker,25,11.13
Joel Hanley,28,11.36
Conor Sheary,27,13.11
Trevor van Riemsdyk,28,14.87
Ryan Carpenter,28,14.07
Christian Folin,28,14.43
Jordan Oesterle,27,17.01
Patrick Brown,27,10.07
Daniel Carr,28,10.34
Garnet Hathaway,28,10.8
Melker Karlsson,29,12.27
Pierre-Edouard Bellemare,34,13.37
Tomas Nosek,27,11.6
Aaron Ekblad,23,22.98
Sam Reinhart,24,20.63
Leon Draisaitl,24,22.61
Sam Bennett,23,12.51
Michael Dal Colle,23,11.8
Jake Virtanen,23,13.09
Haydn Fleury,23,13.67
William Nylander,23,18.21
Nikolaj Ehlers,23,16.52
Nick Ritchie,24,14.18
Kevin Fiala,23,15.4
Brendan Perlini,23,10.7
Jakub Vrana,23,14.86
Dylan Larkin,23,21.25
Sonny Milano,23,13.1
Travis Sanheim,23,20.11
Alex Tuch,23,14.69
Tony DeAngelo,24,19.29
Nick Schmaltz,23,15.54
Robby Fabbri,23,16.15
Kasperi Kapanen,23,15.79
Jared McCann,23,15.24
David Pastrnak,23,19.03
Nikolay Goldobin,24,8.62
Adrian Kempe,23,16.01
John Quenneville,23,11.05
Brendan Lemieux,23,12.87
Jayce Hawryluk,23,11.09
Ivan Barbashev,24,13.43
Marcus Pettersson,23,19.4
Andreas Englund,23,10.91
Josh Jacobs,23,16.59
Vladislav Kamenev,23,8.98
Ryan MacInnis,23,9.35
Nicolas Aube-Kubel,23,11.32
Maxim Letunov,23,9.08
Brandon Montour,25,19.5
Ryan Donato,23,10.63
Christian Dvorak,23,16.7
Warren Foegele,23,13.71
Brayden Point,23,18.87
Jake Walman,23,11.07
Mark Friedman,24,13.59
Michael Amadio,23,13.0
William Lagesson,23,11.86
Lucas Wallmark,24,12.78
Chase De Leo,24,14.98
Christoffer Ehn,23,10.41
Devon Toews,25,20.51
Austin Poganski,23,5.9
Viktor Arvidsson,26,16.2
Sam Lafferty,24,9.62
Danton Heinen,24,14.47
Clark Bishop,23,7.65
CJ Suess,25,6.43
Oskar Lindblom,23,17.61
Anton Lindholm,25,11.78
Anthony Angello,23,5.72
Anders Bjork,23,12.89
Kevin Labanc,24,16.07
Sammy Blais,23,12.46
Dylan Sikura,24,9.9
Victor Olofsson,24,18.38
Pierre Engvall,23,11.93
Ondrej Kase,24,16.47
Jake Evans,23,10.35
Jacob Middleton,23,10.77
Matthew Highmore,23,9.81
Joe Hicketts,23,18.27
Dryden Hunt,24,10.49
Andrew Mangiapane,23,13.7
Frank Vatrano,25,15.02
Cole Bardreau,26,8.87
Noah Hanifin,22,21.18
Rasmus Andersson,23,19.96
Kyle Connor,23,21.09
Jonas Siegenthaler,22,15.69
Colin White,22,15.71
Pavel Zacha,22,16.27
Connor McDavid,22,21.87
Jack Eichel,23,22.1
Vince Dunn,23,16.26
Travis Dermott,23,17.31
Anthony Richard,23,4.17
Jordan Greenway,22,14.16
Timo Meier,23,17.28
Erik Cernak,22,19.05
Mikko Rantanen,23,19.12
Jansen Harkins,22,10.62
Brendan Guhle,22,17.08
Sebastian Aho,22,19.42
Oliver Kylington,22,13.71
Evgeny Svechnikov,23,8.32
Christian Fischer,22,11.02
Keegan Kolesar,22,12.1
David Kase,22,9.78
Travis Konecny,22,16.81
Dylan Strome,22,15.94
Brandon Carlo,23,20.37
Brock Boeser,22,18.57
Mathew Barzal,22,20.04
Nicholas Merkley,22,11.36
Roope Hintz,23,14.78
Ethan Bear,22,21.97
Caleb Jones,22,14.13
Austin Wagner,22,11.74
Jack Roslovic,22,14.9
Zach Werenski,22,23.99
Nicolas Roy,22,11.75
Anthony Beauvillier,22,17.26
Daniel Sprong,22,14.1
Jeremy Lauzon,22,15.39
Thomas Chabot,22,26.0
Mathieu Joseph,22,11.52
Lawson Crouse,22,13.58
Kyle Capobianco,22,14.76
Mitchell Stephens,22,10.85
Mitchell Marner,22,21.55
Zach Senyshyn,22,8.43
Filip Chlapik,22,8.77
Jacob Larsson,22,16.14
Joel Eriksson Ek,22,15.72
Denis Gurianov,22,13.03
Jake DeBrusk,23,16.04
Ivan Provorov,22,24.86
Dennis Gilbert,23,15.71
Gabriel Carlsson,22,10.88
John Marino,22,20.24
Yakov Trenin,22,9.73
Austin Czarnik,27,10.19
Anthony Cirelli,22,18.39
Evan Rodrigues,26,11.29
Artemi Panarin,28,20.6
Dean Kukan,26,15.97
Noel Acciari,28,15.97
Derek Ryan,33,14.55
Kevin Stenlund,23,13.98
J.C. Beaudin,22,8.63
Lukas Vejdemo,23,8.02
Aleksi Saarela,22,12.25
Colton White,22,13.99
Denis Malgin,22,11.99
Mikhail Vorobyev,22,10.43
Christian Wolanin,24,17.68
Alexandre Carrier,23,10.78
Conor Garland,23,14.15
Dmytro Timashov,23,8.53
Niko Mikkola,23,14.36
Dominik Simon,25,14.41
Christian Jaros,23,10.52
Rudolfs Balcers,22,12.14
Troy Terry,22,14.52
Adam Gaudette,23,12.38
Brett Seney,23,9.93
Vladislav Gavrikov,24,18.98
Cameron Hughes,23,9.88
Mason Appleton,23,11.16
Markus Nutivaara,25,15.92
Matt Roy,24,18.12
Sami Niku,23,16.16
Kole Sherwood,22,6.64
Mason Marchment,24,8.08
Adam Brooks,23,7.85
Philippe Myers,22,17.16
Kevin Rooney,26,11.73
Brandon Tanev,28,14.76
Matthew Tkachuk,22,18.31
Joey Anderson,21,13.22
Luke Kunin,22,15.47
Auston Matthews,22,20.97
Maxime Lajoie,22,7.82
Adam Fox,21,18.9
Ryan Lindgren,21,16.57
Charlie McAvoy,22,23.09
Julien Gauthier,22,8.28
Libor Hajek,21,15.98
Rasmus Asplund,22,10.83
Carl Grundstrom,22,12.76
Alex DeBrincat,22,17.49
Patrik Laine,21,19.41
Clayton Keller,21,16.3
Jakob Chychrun,21,22.43
Dillon Dube,21,12.69
Tyler Benson,21,10.38
Kale Clague,21,14.56
Sam Steel,21,15.54
Brett Howden,21,13.14
Kieffer Bellows,21,10.65
Carsen Twarynski,22,10.68
Beck Malenstyn,21,9.27
Tim Gettinger,21,8.38
Trent Frederic,21,6.42
Logan Brown,21,11.76
Max Jones,21,14.27
Andrew Peeke,21,13.86
Tyson Jost,21,12.72
Dante Fabbro,21,19.03
Josh Mahura,21,16.23
Victor Mete,21,15.99
Givani Smith,21,9.68
Nick Caamano,21,9.97
Connor Bunnaman,21,9.53
