Home,Away,Goals_home,Goals_away,First_goal_team,Winner
San Jose,Buffalo,3,4,Buffalo,Buffalo
New Jersey,Vancouver,1,0,New Jersey,New Jersey
St Louis,Montreal,2,5,Montreal,Montreal
Arizona,Ottawa,5,2,Arizona,Arizona
Toronto,Boston,4,3,Boston,Toronto
Tampa Bay,Colorado,2,6,Colorado,Colorado
Philadelphia,Dallas,1,4,Philadelphia,Dallas
Pittsburgh,Vegas,0,3,Vegas,Vegas
Columbus,NY Islanders,2,3,Columbus,NY Islanders
Nashville,Florida,2,3,Florida,Florida
Los Angeles,Calgary,4,1,Los Angeles,Los Angeles
San Jose,Buffalo,3,4,Buffalo,Buffalo
NY Rangers,Vancouver,2,3,Vancouver,Vancouver
Minnesota,Montreal,4,3,Montreal,Minnesota
Chicago,Washington,3,5,Chicago,Washington
Winnipeg,Edmonton,1,0,Winnipeg,Winnipeg
Anaheim,Calgary,1,2,Anaheim,Calgary
NY Rangers,Vancouver,2,3,Vancouver,Vancouver
Minnesota,Montreal,4,3,Montreal,Minnesota
Chicago,Washington,3,5,Chicago,Washington
Winnipeg,Edmonton,1,0,Winnipeg,Winnipeg
Anaheim,Calgary,1,2,Anaheim,Calgary
Toronto,Columbus,3,4,Toronto,Columbus
Philadelphia,Vegas,6,2,Philadelphia,Philadelphia
St Louis,Colorado,3,1,St Louis,St Louis
Dallas,Ottawa,2,1,Dallas,Dallas
Toronto,Columbus,3,4,Toronto,Columbus
Philadelphia,Vegas,6,2,Philadelphia,Philadelphia
St Louis,Colorado,3,1,St Louis,St Louis
Dallas,Ottawa,2,1,Dallas,Dallas
Boston,Toronto,4,2,Toronto,Boston
Buffalo,San Jose,4,3,Buffalo,Buffalo
Florida,Pittsburgh,4,2,Florida,Florida
NY Rangers,Arizona,2,3,NY Rangers,Arizona
Detroit,Vancouver,2,5,Detroit,Vancouver
Nashville,Anaheim,6,1,Nashville,Nashville
Minnesota,Edmonton,3,0,Minnesota,Minnesota
Winnipeg,Los Angeles,2,3,Winnipeg,Los Angeles
Chicago,Vegas,1,2,Vegas,Vegas
Calgary,Washington,3,5,Washington,Washington
Boston,Toronto,4,2,Toronto,Boston
Buffalo,San Jose,4,3,Buffalo,Buffalo
Florida,Pittsburgh,4,2,Florida,Florida
NY Rangers,Arizona,2,3,NY Rangers,Arizona
Detroit,Vancouver,2,5,Detroit,Vancouver
Nashville,Anaheim,6,1,Nashville,Nashville
Minnesota,Edmonton,3,0,Minnesota,Minnesota
Winnipeg,Los Angeles,2,3,Winnipeg,Los Angeles
Chicago,Vegas,1,2,Vegas,Vegas
Calgary,Washington,3,5,Washington,Washington
Ottawa,Detroit,5,2,Detroit,Ottawa
Tampa Bay,Pittsburgh,3,2,Pittsburgh,Tampa Bay
Ottawa,Detroit,5,2,Detroit,Ottawa
Tampa Bay,Pittsburgh,3,2,Pittsburgh,Tampa Bay
Montreal,San Jose,2,4,San Jose,San Jose
NY Islanders,Arizona,4,2,NY Islanders,NY Islanders
NY Rangers,Buffalo,6,2,NY Rangers,NY Rangers
Columbus,Carolina,4,3,Columbus,Columbus
St Louis,Los Angeles,5,2,Los Angeles,St Louis
Nashville,Minnesota,4,0,Nashville,Nashville
Chicago,Philadelphia,1,4,Chicago,Philadelphia
Dallas,Anaheim,2,1,Anaheim,Dallas
Calgary,Florida,6,5,Florida,Calgary
Edmonton,Washington,4,3,Washington,Edmonton
Montreal,San Jose,2,4,San Jose,San Jose
NY Islanders,Arizona,4,2,NY Islanders,NY Islanders
NY Rangers,Buffalo,6,2,NY Rangers,NY Rangers
Columbus,Carolina,4,3,Columbus,Columbus
St Louis,Los Angeles,5,2,Los Angeles,St Louis
Nashville,Minnesota,4,0,Nashville,Nashville
Chicago,Philadelphia,1,4,Chicago,Philadelphia
Dallas,Anaheim,2,1,Anaheim,Dallas
Calgary,Florida,6,5,Florida,Calgary
Edmonton,Washington,4,3,Washington,Edmonton
Vegas,Colorado,1,6,Colorado,Colorado
Toronto,San Jose,4,1,Toronto,Toronto
New Jersey,Arizona,3,5,Arizona,Arizona
Ottawa,NY Islanders,2,4,NY Islanders,NY Islanders
Detroit,Buffalo,0,2,Buffalo,Buffalo
Vancouver,Washington,5,6,Vancouver,Washington
Vegas,Colorado,1,6,Colorado,Colorado
Toronto,San Jose,4,1,Toronto,Toronto
New Jersey,Arizona,3,5,Arizona,Arizona
Ottawa,NY Islanders,2,4,NY Islanders,NY Islanders
Detroit,Buffalo,0,2,Buffalo,Buffalo
Vancouver,Washington,5,6,Vancouver,Washington
Carolina,Chicago,4,0,Carolina,Carolina
Boston,St Louis,3,0,Boston,Boston
Montreal,Toronto,5,2,Toronto,Montreal
Tampa Bay,Nashville,2,3,Tampa Bay,Nashville
Philadelphia,Columbus,7,4,Columbus,Philadelphia
Dallas,Pittsburgh,0,3,Pittsburgh,Pittsburgh
Minnesota,Los Angeles,5,1,Los Angeles,Minnesota
Colorado,Anaheim,2,5,Colorado,Anaheim
Winnipeg,Calgary,2,1,Calgary,Winnipeg
Carolina,Chicago,4,0,Carolina,Carolina
Boston,St Louis,3,0,Boston,Boston
Montreal,Toronto,5,2,Toronto,Montreal
Tampa Bay,Nashville,2,3,Tampa Bay,Nashville
Philadelphia,Columbus,7,4,Columbus,Philadelphia
Dallas,Pittsburgh,0,3,Pittsburgh,Pittsburgh
Minnesota,Los Angeles,5,1,Los Angeles,Minnesota
Colorado,Anaheim,2,5,Colorado,Anaheim
Winnipeg,Calgary,2,1,Calgary,Winnipeg
Edmonton,Florida,2,6,Florida,Florida
Detroit,St Louis,4,5,Detroit,St Louis
Chicago,Los Angeles,5,1,Chicago,Chicago
Ottawa,San Jose,5,2,Ottawa,Ottawa
NY Islanders,Philadelphia,5,3,Philadelphia,NY Islanders
NY Rangers,Boston,4,7,Boston,Boston
Vegas,Anaheim,5,2,Vegas,Vegas
Edmonton,Florida,2,6,Florida,Florida
Detroit,St Louis,4,5,Detroit,St Louis
Chicago,Los Angeles,5,1,Chicago,Chicago
Ottawa,San Jose,5,2,Ottawa,Ottawa
NY Islanders,Philadelphia,5,3,Philadelphia,NY Islanders
NY Rangers,Boston,4,7,Boston,Boston
Vegas,Anaheim,5,2,Vegas,Vegas
Buffalo,Arizona,2,3,Arizona,Arizona
Vancouver,Florida,7,2,Vancouver,Vancouver
Buffalo,Arizona,2,3,Arizona,Arizona
Vancouver,Florida,7,2,Vancouver,Vancouver
Boston,San Jose,5,1,San Jose,Boston
Toronto,Washington,3,4,Washington,Washington
