Home,Away,Goals_home,Goals_away,First_goal_team,Winner
Tampa Bay,Ottawa,4,3,Tampa Bay,Tampa Bay
NY Islanders,Nashville,3,8,NY Islanders,Nashville
Philadelphia,Anaheim,4,1,Philadelphia,Philadelphia
Detroit,Columbus,3,5,Columbus,Columbus
Winnipeg,Carolina,3,6,Carolina,Carolina
Calgary,Pittsburgh,1,4,Calgary,Pittsburgh
Vancouver,Montreal,1,3,Montreal,Montreal
Vegas,Minnesota,3,2,Minnesota,Vegas
San Jose,Arizona,2,3,Arizona,Arizona
Boston,Los Angeles,3,4,Los Angeles,Los Angeles
Toronto,Buffalo,5,3,Toronto,Toronto
Tampa Bay,Ottawa,4,3,Tampa Bay,Tampa Bay
NY Islanders,Nashville,3,8,NY Islanders,Nashville
Philadelphia,Anaheim,4,1,Philadelphia,Philadelphia
Detroit,Columbus,3,5,Columbus,Columbus
Winnipeg,Carolina,3,6,Carolina,Carolina
Calgary,Pittsburgh,1,4,Calgary,Pittsburgh
Vancouver,Montreal,1,3,Montreal,Montreal
Vegas,Minnesota,3,2,Minnesota,Vegas
San Jose,Arizona,2,3,Arizona,Arizona
New Jersey,Anaheim,3,1,New Jersey,New Jersey
Chicago,Colorado,1,4,Colorado,Colorado
St Louis,Edmonton,2,1,St Louis,St Louis
New Jersey,Anaheim,3,1,New Jersey,New Jersey
Chicago,Colorado,1,4,Colorado,Colorado
St Louis,Edmonton,2,1,St Louis,St Louis
Boston,NY Islanders,2,3,NY Islanders,NY Islanders
Tampa Bay,Dallas,3,4,Tampa Bay,Dallas
Philadelphia,Buffalo,6,1,Philadelphia,Philadelphia
Columbus,Los Angeles,3,2,Los Angeles,Columbus
Ottawa,Nashville,5,4,Ottawa,Ottawa
Winnipeg,Chicago,1,4,Chicago,Chicago
Colorado,Carolina,1,3,Colorado,Carolina
Calgary,Montreal,3,4,Calgary,Montreal
Arizona,Minnesota,5,8,Minnesota,Minnesota
Vancouver,Vegas,5,4,Vegas,Vancouver
Boston,NY Islanders,2,3,NY Islanders,NY Islanders
Tampa Bay,Dallas,3,4,Tampa Bay,Dallas
Philadelphia,Buffalo,6,1,Philadelphia,Philadelphia
Columbus,Los Angeles,3,2,Los Angeles,Columbus
Ottawa,Nashville,5,4,Ottawa,Ottawa
Winnipeg,Chicago,1,4,Chicago,Chicago
Colorado,Carolina,1,3,Colorado,Carolina
Calgary,Montreal,3,4,Calgary,Montreal
Arizona,Minnesota,5,8,Minnesota,Minnesota
Vancouver,Vegas,5,4,Vegas,Vancouver
Florida,Dallas,7,4,Florida,Florida
New Jersey,Washington,3,6,New Jersey,Washington
NY Rangers,Toronto,3,6,NY Rangers,Toronto
Edmonton,Pittsburgh,2,5,Edmonton,Pittsburgh
Florida,Dallas,7,4,Florida,Florida
New Jersey,Washington,3,6,New Jersey,Washington
NY Rangers,Toronto,3,6,NY Rangers,Toronto
Edmonton,Pittsburgh,2,5,Edmonton,Pittsburgh
Buffalo,Los Angeles,3,2,Buffalo,Buffalo
NY Islanders,Anaheim,5,6,NY Islanders,Anaheim
Minnesota,Winnipeg,0,6,Winnipeg,Winnipeg
Edmonton,Montreal,4,3,Montreal,Edmonton
Boston,Nashville,3,4,Boston,Nashville
Toronto,Detroit,4,1,Toronto,Toronto
Ottawa,Philadelphia,4,5,Philadelphia,Philadelphia
Washington,Tampa Bay,3,1,Washington,Washington
Carolina,Florida,2,4,Florida,Florida
Columbus,New Jersey,5,1,Columbus,Columbus
Colorado,Chicago,3,5,Chicago,Chicago
Vancouver,Pittsburgh,4,1,Pittsburgh,Vancouver
San Jose,St Louis,2,5,San Jose,St Louis
Buffalo,Los Angeles,3,2,Buffalo,Buffalo
NY Islanders,Anaheim,5,6,NY Islanders,Anaheim
Minnesota,Winnipeg,0,6,Winnipeg,Winnipeg
Edmonton,Montreal,4,3,Montreal,Edmonton
Boston,Nashville,3,4,Boston,Nashville
Toronto,Detroit,4,1,Toronto,Toronto
Ottawa,Philadelphia,4,5,Philadelphia,Philadelphia
Washington,Tampa Bay,3,1,Washington,Washington
Carolina,Florida,2,4,Florida,Florida
Columbus,New Jersey,5,1,Columbus,Columbus
Colorado,Chicago,3,5,Chicago,Chicago
Vancouver,Pittsburgh,4,1,Pittsburgh,Vancouver
San Jose,St Louis,2,5,San Jose,St Louis
NY Rangers,Anaheim,5,1,NY Rangers,NY Rangers
Dallas,Calgary,1,5,Calgary,Calgary
Detroit,Arizona,2,5,Arizona,Arizona
San Jose,Vegas,1,3,Vegas,Vegas
NY Rangers,Anaheim,5,1,NY Rangers,NY Rangers
Dallas,Calgary,1,5,Calgary,Calgary
Detroit,Arizona,2,5,Arizona,Arizona
San Jose,Vegas,1,3,Vegas,Vegas
Toronto,Carolina,8,6,Toronto,Toronto
Minnesota,Calgary,3,0,Minnesota,Minnesota
Boston,Washington,7,3,Boston,Boston
Tampa Bay,Florida,6,1,Tampa Bay,Tampa Bay
NY Islanders,Columbus,2,3,Columbus,Columbus
Philadelphia,NY Rangers,5,1,NY Rangers,Philadelphia
Ottawa,Buffalo,3,1,Ottawa,Ottawa
Nashville,Arizona,3,2,Nashville,Nashville
Winnipeg,Montreal,2,6,Montreal,Montreal
Chicago,New Jersey,1,7,New Jersey,New Jersey
Vancouver,Edmonton,4,2,Edmonton,Vancouver
Vegas,Colorado,3,7,Vegas,Colorado
Los Angeles,St Louis,1,4,St Louis,St Louis
Toronto,Carolina,8,6,Toronto,Toronto
Minnesota,Calgary,3,0,Minnesota,Minnesota
Boston,Washington,7,3,Boston,Boston
Tampa Bay,Florida,6,1,Tampa Bay,Tampa Bay
NY Islanders,Columbus,2,3,Columbus,Columbus
Philadelphia,NY Rangers,5,1,NY Rangers,Philadelphia
Ottawa,Buffalo,3,1,Ottawa,Ottawa
Nashville,Arizona,3,2,Nashville,Nashville
Winnipeg,Montreal,2,6,Montreal,Montreal
Chicago,New Jersey,1,7,New Jersey,New Jersey
Vancouver,Edmonton,4,2,Edmonton,Vancouver
Vegas,Colorado,3,7,Vegas,Colorado
Los Angeles,St Louis,1,4,St Louis,St Louis
Buffalo,Boston,0,3,Boston,Boston
New Jersey,Toronto,4,5,New Jersey,Toronto
NY Rangers,Carolina,5,3,NY Rangers,NY Rangers
Washington,Columbus,2,1,Columbus,Washington
Colorado,Minnesota,4,6,Minnesota,Minnesota
Nashville,Pittsburgh,2,5,Pittsburgh,Pittsburgh
Winnipeg,St Louis,4,5,St Louis,St Louis
Chicago,NY Islanders,5,2,Chicago,Chicago
Edmonton,Calgary,1,5,Calgary,Calgary
Anaheim,Vegas,4,3,Vegas,Anaheim
San Jose,Los Angeles,2,3,San Jose,Los Angeles
Buffalo,Boston,0,3,Boston,Boston
New Jersey,Toronto,4,5,New Jersey,Toronto
NY Rangers,Carolina,5,3,NY Rangers,NY Rangers
Washington,Columbus,2,1,Columbus,Washington
Colorado,Minnesota,4,6,Minnesota,Minnesota
Nashville,Pittsburgh,2,5,Pittsburgh,Pittsburgh
Winnipeg,St Louis,4,5,St Louis,St Louis
Chicago,NY Islanders,5,2,Chicago,Chicago
Edmonton,Calgary,1,5,Calgary,Calgary
Anaheim,Vegas,4,3,Vegas,Anaheim
San Jose,Los Angeles,2,3,San Jose,Los Angeles
Dallas,Colorado,3,2,Dallas,Dallas
Toronto,NY Rangers,4,5,NY Rangers,NY Rangers
Tampa Bay,Montreal,5,4,Tampa Bay,Tampa Bay
Florida,Detroit,5,4,Detroit,Florida
Pittsburgh,Nashville,6,4,Nashville,Pittsburgh
Carolina,Washington,6,4,Carolina,Carolina
Vancouver,Los Angeles,3,2,Los Angeles,Vancouver
Vegas,Arizona,4,1,Vegas,Vegas
San Jose,Philadelphia,6,1,San Jose,San Jose
Dallas,Colorado,3,2,Dallas,Dallas
Toronto,NY Rangers,4,5,NY Rangers,NY Rangers
Tampa Bay,Montreal,5,4,Tampa Bay,Tampa Bay
Florida,Detroit,5,4,Detroit,Florida
Pittsburgh,Nashville,6,4,Nashville,Pittsburgh
Carolina,Washington,6,4,Carolina,Carolina
Vancouver,Los Angeles,3,2,Los Angeles,Vancouver
Vegas,Arizona,4,1,Vegas,Vegas
San Jose,Philadelphia,6,1,San Jose,San Jose
St Louis,Winnipeg,4,1,Winnipeg,St Louis
Ottawa,New Jersey,3,4,Ottawa,New Jersey
Columbus,Chicago,2,3,Chicago,Chicago
Minnesota,NY Islanders,1,3,NY Islanders,NY Islanders
Boston,Buffalo,3,2,Buffalo,Boston
Tampa Bay,Detroit,2,1,Tampa Bay,Tampa Bay
Florida,Montreal,6,5,Montreal,Florida
Arizona,Dallas,2,4,Arizona,Dallas
Anaheim,Philadelphia,1,2,Philadelphia,Philadelphia
Calgary,Vancouver,2,5,Calgary,Vancouver
St Louis,Winnipeg,4,1,Winnipeg,St Louis
Ottawa,New Jersey,3,4,Ottawa,New Jersey
Columbus,Chicago,2,3,Chicago,Chicago
Minnesota,NY Islanders,1,3,NY Islanders,NY Islanders
Boston,Buffalo,3,2,Buffalo,Boston
Tampa Bay,Detroit,2,1,Tampa Bay,Tampa Bay
Florida,Montreal,6,5,Montreal,Florida
Arizona,Dallas,2,4,Arizona,Dallas
Anaheim,Philadelphia,1,2,Philadelphia,Philadelphia
Calgary,Vancouver,2,5,Calgary,Vancouver
Pittsburgh,Ottawa,5,2,Ottawa,Pittsburgh
Pittsburgh,Ottawa,5,2,Ottawa,Pittsburgh
New Jersey,Boston,3,2,Boston,New Jersey
Washington,NY Islanders,3,4,Washington,NY Islanders
Vegas,Anaheim,5,2,Vegas,Vegas
Minnesota,Toronto,1,4,Toronto,Toronto
Buffalo,Tampa Bay,4,6,Buffalo,Tampa Bay
Carolina,Montreal,3,1,Carolina,Carolina
Columbus,Florida,4,1,Florida,Columbus
Detroit,San Jose,2,0,Detroit,Detroit
Colorado,Winnipeg,4,7,Winnipeg,Winnipeg
Los Angeles,Philadelphia,5,3,Philadelphia,Los Angeles
Calgary,Chicago,3,5,Chicago,Chicago
Edmonton,NY Rangers,7,5,Edmonton,Edmonton
Arizona,St Louis,3,1,Arizona,Arizona
New Jersey,Boston,3,2,Boston,New Jersey
Washington,NY Islanders,3,4,Washington,NY Islanders
Vegas,Anaheim,5,2,Vegas,Vegas
Minnesota,Toronto,1,4,Toronto,Toronto
Buffalo,Tampa Bay,4,6,Buffalo,Tampa Bay
Carolina,Montreal,3,1,Carolina,Carolina
Columbus,Florida,4,1,Florida,Columbus
Detroit,San Jose,2,0,Detroit,Detroit
Colorado,Winnipeg,4,7,Winnipeg,Winnipeg
Los Angeles,Philadelphia,5,3,Philadelphia,Los Angeles
Calgary,Chicago,3,5,Chicago,Chicago
Edmonton,NY Rangers,7,5,Edmonton,Edmonton
Arizona,St Louis,3,1,Arizona,Arizona
Dallas,Nashville,4,2,Dallas,Dallas
Dallas,Nashville,4,2,Dallas,Dallas
Boston,Columbus,1,2,Boston,Columbus
Buffalo,Edmonton,3,2,Buffalo,Buffalo
Montreal,Tampa Bay,1,2,Montreal,Tampa Bay
NY Islanders,New Jersey,1,2,NY Islanders,New Jersey
Pittsburgh,San Jose,2,3,San Jose,San Jose
Ottawa,Florida,3,6,Florida,Florida
Winnipeg,Toronto,3,6,Winnipeg,Toronto
Calgary,NY Rangers,4,3,NY Rangers,Calgary
Arizona,Anaheim,4,2,Anaheim,Arizona
Colorado,St Louis,7,3,Colorado,Colorado
Vancouver,Chicago,7,5,Vancouver,Vancouver
Vegas,Philadelphia,5,4,Vegas,Vegas
Boston,Columbus,1,2,Boston,Columbus
Buffalo,Edmonton,3,2,Buffalo,Buffalo
Montreal,Tampa Bay,1,2,Montreal,Tampa Bay
NY Islanders,New Jersey,1,2,NY Islanders,New Jersey
Pittsburgh,San Jose,2,3,San Jose,San Jose
Ottawa,Florida,3,6,Florida,Florida
Winnipeg,Toronto,3,6,Winnipeg,Toronto
Calgary,NY Rangers,4,3,NY Rangers,Calgary
Arizona,Anaheim,4,2,Anaheim,Arizona
Colorado,St Louis,7,3,Colorado,Colorado
Vancouver,Chicago,7,5,Vancouver,Vancouver
Vegas,Philadelphia,5,4,Vegas,Vegas
Carolina,Washington,3,4,Washington,Washington
Dallas,Detroit,4,1,Dallas,Dallas
Carolina,Washington,3,4,Washington,Washington
Dallas,Detroit,4,1,Dallas,Dallas
Boston,Edmonton,1,4,Edmonton,Edmonton
Columbus,San Jose,2,3,San Jose,San Jose
Buffalo,Florida,3,2,Florida,Buffalo
Minnesota,Winnipeg,3,2,Minnesota,Minnesota
Vegas,St Louis,5,4,Vegas,Vegas
Toronto,NY Islanders,3,0,Toronto,Toronto
Montreal,Pittsburgh,2,3,Montreal,Pittsburgh
Ottawa,Tampa Bay,3,5,Ottawa,Tampa Bay
New Jersey,Colorado,2,5,Colorado,Colorado
Arizona,Philadelphia,6,2,Arizona,Arizona
Vancouver,NY Rangers,2,1,Vancouver,Vancouver
Los Angeles,Nashville,1,4,Nashville,Nashville
Boston,Edmonton,1,4,Edmonton,Edmonton
Columbus,San Jose,2,3,San Jose,San Jose
Buffalo,Florida,3,2,Florida,Buffalo
Minnesota,Winnipeg,3,2,Minnesota,Minnesota
Vegas,St Louis,5,4,Vegas,Vegas
Toronto,NY Islanders,3,0,Toronto,Toronto
Montreal,Pittsburgh,2,3,Montreal,Pittsburgh
Ottawa,Tampa Bay,3,5,Ottawa,Tampa Bay
New Jersey,Colorado,2,5,Colorado,Colorado
Arizona,Philadelphia,6,2,Arizona,Arizona
Vancouver,NY Rangers,2,1,Vancouver,Vancouver
Los Angeles,Nashville,1,4,Nashville,Nashville
Washington,San Jose,5,4,San Jose,Washington
Pittsburgh,Florida,1,4,Florida,Florida
Carolina,Tampa Bay,1,3,Tampa Bay,Tampa Bay
Minnesota,Calgary,4,5,Calgary,Calgary
Chicago,Detroit,4,2,Chicago,Chicago
Anaheim,Nashville,5,4,Nashville,Anaheim
Washington,San Jose,5,4,San Jose,Washington
Pittsburgh,Florida,1,4,Florida,Florida
Carolina,Tampa Bay,1,3,Tampa Bay,Tampa Bay
Minnesota,Calgary,4,5,Calgary,Calgary
Chicago,Detroit,4,2,Chicago,Chicago
Anaheim,Nashville,5,4,Nashville,Anaheim
Toronto,Edmonton,4,6,Edmonton,Edmonton
Montreal,Winnipeg,2,3,Winnipeg,Winnipeg
NY Islanders,Colorado,1,0,NY Islanders,NY Islanders
Los Angeles,Columbus,2,4,Los Angeles,Columbus
Toronto,Edmonton,4,6,Edmonton,Edmonton
Montreal,Winnipeg,2,3,Winnipeg,Winnipeg
NY Islanders,Colorado,1,0,NY Islanders,NY Islanders
Los Angeles,Columbus,2,4,Los Angeles,Columbus
Tampa Bay,Vancouver,9,2,Tampa Bay,Tampa Bay
Florida,Arizona,2,5,Arizona,Arizona
New Jersey,NY Islanders,3,4,New Jersey,NY Islanders
Washington,Ottawa,6,1,Washington,Washington
Carolina,Philadelphia,5,4,Carolina,Carolina
NY Rangers,Colorado,5,3,NY Rangers,NY Rangers
Detroit,Montreal,4,3,Montreal,Detroit
St Louis,San Jose,3,2,St Louis,St Louis
Nashville,Boston,2,6,Boston,Boston
Chicago,Calgary,1,2,Chicago,Calgary
Vegas,Pittsburgh,3,4,Pittsburgh,Pittsburgh
Anaheim,Columbus,3,4,Columbus,Columbus
Tampa Bay,Vancouver,9,2,Tampa Bay,Tampa Bay
Florida,Arizona,2,5,Arizona,Arizona
New Jersey,NY Islanders,3,4,New Jersey,NY Islanders
Washington,Ottawa,6,1,Washington,Washington
Carolina,Philadelphia,5,4,Carolina,Carolina
NY Rangers,Colorado,5,3,NY Rangers,NY Rangers
Detroit,Montreal,4,3,Montreal,Detroit
St Louis,San Jose,3,2,St Louis,St Louis
Nashville,Boston,2,6,Boston,Boston
Chicago,Calgary,1,2,Chicago,Calgary
Vegas,Pittsburgh,3,4,Pittsburgh,Pittsburgh
Anaheim,Columbus,3,4,Columbus,Columbus
Toronto,Winnipeg,3,4,Toronto,Winnipeg
Philadelphia,Washington,3,2,Philadelphia,Philadelphia
Los Angeles,Dallas,1,2,Los Angeles,Dallas
Toronto,Winnipeg,3,4,Toronto,Winnipeg
Philadelphia,Washington,3,2,Philadelphia,Philadelphia
Los Angeles,Dallas,1,2,Los Angeles,Dallas
Boston,Winnipeg,5,4,Winnipeg,Boston
Montreal,Edmonton,2,4,Montreal,Edmonton
Tampa Bay,Arizona,4,0,Tampa Bay,Tampa Bay
Florida,Vancouver,5,2,Florida,Florida
NY Rangers,New Jersey,6,3,New Jersey,NY Rangers
St Louis,Buffalo,5,1,Buffalo,St Louis
Chicago,Nashville,2,5,Chicago,Nashville
Calgary,Minnesota,2,1,Minnesota,Calgary
Vegas,Los Angeles,2,5,Los Angeles,Los Angeles
Anaheim,Dallas,0,3,Dallas,Dallas
San Jose,Columbus,3,1,San Jose,San Jose
Boston,Winnipeg,5,4,Winnipeg,Boston
Montreal,Edmonton,2,4,Montreal,Edmonton
Tampa Bay,Arizona,4,0,Tampa Bay,Tampa Bay
Florida,Vancouver,5,2,Florida,Florida
NY Rangers,New Jersey,6,3,New Jersey,NY Rangers
St Louis,Buffalo,5,1,Buffalo,St Louis
Chicago,Nashville,2,5,Chicago,Nashville
Calgary,Minnesota,2,1,Minnesota,Calgary
Vegas,Los Angeles,2,5,Los Angeles,Los Angeles
Anaheim,Dallas,0,3,Dallas,Dallas
San Jose,Columbus,3,1,San Jose,San Jose
Detroit,Ottawa,3,2,Detroit,Detroit
Carolina,Arizona,3,0,Carolina,Carolina
Colorado,Pittsburgh,3,4,Pittsburgh,Pittsburgh
Detroit,Ottawa,3,2,Detroit,Detroit
Carolina,Arizona,3,0,Carolina,Carolina
Colorado,Pittsburgh,3,4,Pittsburgh,Pittsburgh
Buffalo,Vancouver,3,6,Buffalo,Vancouver
Ottawa,Montreal,1,2,Ottawa,Montreal
NY Islanders,Boston,2,3,Boston,Boston
Philadelphia,Tampa Bay,0,1,Tampa Bay,Tampa Bay
Washington,New Jersey,1,5,New Jersey,New Jersey
Carolina,Los Angeles,2,0,Carolina,Carolina
St Louis,NY Rangers,5,2,NY Rangers,St Louis
Chicago,Anaheim,4,2,Chicago,Chicago
Vegas,Columbus,0,3,Columbus,Columbus
Calgary,Edmonton,4,3,Calgary,Calgary
San Jose,Dallas,2,1,Dallas,San Jose
Buffalo,Vancouver,3,6,Buffalo,Vancouver
Ottawa,Montreal,1,2,Ottawa,Montreal
NY Islanders,Boston,2,3,Boston,Boston
Philadelphia,Tampa Bay,0,1,Tampa Bay,Tampa Bay
Washington,New Jersey,1,5,New Jersey,New Jersey
Carolina,Los Angeles,2,0,Carolina,Carolina
St Louis,NY Rangers,5,2,NY Rangers,St Louis
Chicago,Anaheim,4,2,Chicago,Chicago
Vegas,Columbus,0,3,Columbus,Columbus
Calgary,Edmonton,4,3,Calgary,Calgary
San Jose,Dallas,2,1,Dallas,San Jose
Winnipeg,Nashville,0,1,Nashville,Nashville
Minnesota,Vancouver,1,4,Vancouver,Vancouver
Detroit,Buffalo,1,5,Buffalo,Buffalo
Arizona,Pittsburgh,3,4,Pittsburgh,Pittsburgh
Florida,Toronto,8,4,Florida,Florida
New Jersey,Tampa Bay,3,1,Tampa Bay,New Jersey
Winnipeg,Nashville,0,1,Nashville,Nashville
Minnesota,Vancouver,1,4,Vancouver,Vancouver
Detroit,Buffalo,1,5,Buffalo,Buffalo
Arizona,Pittsburgh,3,4,Pittsburgh,Pittsburgh
Florida,Toronto,8,4,Florida,Florida
New Jersey,Tampa Bay,3,1,Tampa Bay,New Jersey
Montreal,Calgary,2,0,Montreal,Montreal
NY Rangers,NY Islanders,6,2,NY Rangers,NY Rangers
Philadelphia,Boston,6,5,Philadelphia,Philadelphia
Washington,Carolina,2,0,Washington,Washington
St Louis,Anaheim,4,1,St Louis,St Louis
Montreal,Calgary,2,0,Montreal,Montreal
NY Rangers,NY Islanders,6,2,NY Rangers,NY Rangers
Philadelphia,Boston,6,5,Philadelphia,Philadelphia
Washington,Carolina,2,0,Washington,Washington
St Louis,Anaheim,4,1,St Louis,St Louis
Buffalo,Vegas,4,2,Buffalo,Buffalo
Toronto,New Jersey,7,4,Toronto,Toronto
Tampa Bay,Los Angeles,4,3,Los Angeles,Tampa Bay
NY Islanders,Detroit,8,2,NY Islanders,NY Islanders
Pittsburgh,Minnesota,7,3,Pittsburgh,Pittsburgh
Columbus,Boston,3,0,Columbus,Columbus
Ottawa,Chicago,2,3,Chicago,Chicago
Winnipeg,Vancouver,4,0,Winnipeg,Winnipeg
Colorado,Dallas,2,3,Dallas,Dallas
Edmonton,Nashville,4,2,Edmonton,Edmonton
Arizona,San Jose,6,3,Arizona,Arizona
Buffalo,Vegas,4,2,Buffalo,Buffalo
Toronto,New Jersey,7,4,Toronto,Toronto
Tampa Bay,Los Angeles,4,3,Los Angeles,Tampa Bay
NY Islanders,Detroit,8,2,NY Islanders,NY Islanders
Pittsburgh,Minnesota,7,3,Pittsburgh,Pittsburgh
Columbus,Boston,3,0,Columbus,Columbus
Ottawa,Chicago,2,3,Chicago,Chicago
Winnipeg,Vancouver,4,0,Winnipeg,Winnipeg
Colorado,Dallas,2,3,Dallas,Dallas
Edmonton,Nashville,4,2,Edmonton,Edmonton
Arizona,San Jose,6,3,Arizona,Arizona
Montreal,Chicago,1,4,Montreal,Chicago
St Louis,Philadelphia,3,4,Philadelphia,Philadelphia
Montreal,Chicago,1,4,Montreal,Chicago
St Louis,Philadelphia,3,4,Philadelphia,Philadelphia
Boston,Pittsburgh,4,1,Boston,Boston
Toronto,Calgary,1,2,Calgary,Calgary
Florida,Los Angeles,4,3,Florida,Florida
NY Islanders,NY Rangers,2,3,NY Islanders,NY Rangers
Philadelphia,Montreal,1,4,Montreal,Montreal
Washington,New Jersey,5,2,Washington,Washington
Columbus,Carolina,3,2,Carolina,Columbus
Ottawa,Vegas,2,4,Vegas,Vegas
Nashville,Anaheim,2,4,Anaheim,Anaheim
Minnesota,Tampa Bay,3,2,Tampa Bay,Minnesota
Dallas,Buffalo,1,4,Dallas,Buffalo
Colorado,San Jose,4,0,Colorado,Colorado
Vancouver,Arizona,3,1,Vancouver,Vancouver
Boston,Pittsburgh,4,1,Boston,Boston
Toronto,Calgary,1,2,Calgary,Calgary
Florida,Los Angeles,4,3,Florida,Florida
NY Islanders,NY Rangers,2,3,NY Islanders,NY Rangers
Philadelphia,Montreal,1,4,Montreal,Montreal
Washington,New Jersey,5,2,Washington,Washington
Columbus,Carolina,3,2,Carolina,Columbus
Ottawa,Vegas,2,4,Vegas,Vegas
Nashville,Anaheim,2,4,Anaheim,Anaheim
Minnesota,Tampa Bay,3,2,Tampa Bay,Minnesota
Dallas,Buffalo,1,4,Dallas,Buffalo
Colorado,San Jose,4,0,Colorado,Colorado
Vancouver,Arizona,3,1,Vancouver,Vancouver
Detroit,Pittsburgh,1,2,Detroit,Pittsburgh
Carolina,Anaheim,1,2,Anaheim,Anaheim
Winnipeg,Tampa Bay,1,7,Tampa Bay,Tampa Bay
Detroit,Pittsburgh,1,2,Detroit,Pittsburgh
Carolina,Anaheim,1,2,Anaheim,Anaheim
Winnipeg,Tampa Bay,1,7,Tampa Bay,Tampa Bay
NY Islanders,Washington,4,6,NY Islanders,Washington
Colorado,St Louis,5,3,Colorado,Colorado
Edmonton,Arizona,7,3,Edmonton,Edmonton
Ottawa,Calgary,5,2,Ottawa,Ottawa
Toronto,Chicago,2,6,Toronto,Chicago
Montreal,Vegas,5,4,Montreal,Montreal
Detroit,Florida,1,4,Detroit,Florida
Philadelphia,Los Angeles,4,1,Philadelphia,Philadelphia
Columbus,New Jersey,5,0,Columbus,Columbus
Nashville,Buffalo,2,1,Nashville,Nashville
Minnesota,Dallas,7,0,Minnesota,Minnesota
Vancouver,San Jose,4,1,Vancouver,Vancouver
NY Islanders,Washington,4,6,NY Islanders,Washington
Colorado,St Louis,5,3,Colorado,Colorado
Edmonton,Arizona,7,3,Edmonton,Edmonton
Ottawa,Calgary,5,2,Ottawa,Ottawa
Toronto,Chicago,2,6,Toronto,Chicago
Montreal,Vegas,5,4,Montreal,Montreal
Detroit,Florida,1,4,Detroit,Florida
Philadelphia,Los Angeles,4,1,Philadelphia,Philadelphia
Columbus,New Jersey,5,0,Columbus,Columbus
Nashville,Buffalo,2,1,Nashville,Nashville
Minnesota,Dallas,7,0,Minnesota,Minnesota
Vancouver,San Jose,4,1,Vancouver,Vancouver
Pittsburgh,Boston,4,3,Pittsburgh,Pittsburgh
Carolina,NY Islanders,2,1,NY Islanders,Carolina
Chicago,Winnipeg,5,2,Chicago,Chicago
NY Rangers,Columbus,1,2,Columbus,Columbus
Pittsburgh,Boston,4,3,Pittsburgh,Pittsburgh
Carolina,NY Islanders,2,1,NY Islanders,Carolina
Chicago,Winnipeg,5,2,Chicago,Chicago
NY Rangers,Columbus,1,2,Columbus,Columbus
Colorado,Detroit,6,3,Colorado,Colorado
Minnesota,Florida,4,5,Florida,Florida
Colorado,Detroit,6,3,Colorado,Colorado
Minnesota,Florida,4,5,Florida,Florida
Boston,Vegas,3,2,Vegas,Boston
NY Rangers,NY Islanders,2,4,NY Islanders,NY Islanders
Carolina,Winnipeg,4,1,Carolina,Carolina
Philadelphia,Pittsburgh,3,0,Philadelphia,Philadelphia
Chicago,Florida,3,4,Florida,Florida
Boston,Vegas,3,2,Vegas,Boston
NY Rangers,NY Islanders,2,4,NY Islanders,NY Islanders
Carolina,Winnipeg,4,1,Carolina,Carolina
Philadelphia,Pittsburgh,3,0,Philadelphia,Philadelphia
Chicago,Florida,3,4,Florida,Florida
Columbus,Winnipeg,4,3,Columbus,Columbus
Minnesota,Detroit,4,2,Minnesota,Minnesota
Columbus,Winnipeg,4,3,Columbus,Columbus
Minnesota,Detroit,4,2,Minnesota,Minnesota
Montreal,Washington,2,4,Washington,Washington
Ottawa,New Jersey,3,4,Ottawa,New Jersey
Nashville,Toronto,2,5,Toronto,Toronto
Dallas,Tampa Bay,3,2,Tampa Bay,Dallas
Vancouver,St Louis,3,1,Vancouver,Vancouver
San Jose,Anaheim,4,2,Anaheim,San Jose
Montreal,Washington,2,4,Washington,Washington
Ottawa,New Jersey,3,4,Ottawa,New Jersey
Nashville,Toronto,2,5,Toronto,Toronto
Dallas,Tampa Bay,3,2,Tampa Bay,Dallas
Vancouver,St Louis,3,1,Vancouver,Vancouver
San Jose,Anaheim,4,2,Anaheim,San Jose
Buffalo,Ottawa,2,5,Ottawa,Ottawa
Calgary,St Louis,4,5,St Louis,St Louis
Buffalo,Ottawa,2,5,Ottawa,Ottawa
Calgary,St Louis,4,5,St Louis,St Louis
Dallas,Toronto,3,5,Toronto,Toronto
Washington,Nashville,4,5,Washington,Nashville
Anaheim,Arizona,4,2,Anaheim,Anaheim
Los Angeles,Tampa Bay,2,4,Los Angeles,Tampa Bay
Edmonton,Calgary,3,4,Edmonton,Calgary
San Jose,Vancouver,2,5,San Jose,Vancouver
Dallas,Toronto,3,5,Toronto,Toronto
Washington,Nashville,4,5,Washington,Nashville
Anaheim,Arizona,4,2,Anaheim,Anaheim
Los Angeles,Tampa Bay,2,4,Los Angeles,Tampa Bay
Edmonton,Calgary,3,4,Edmonton,Calgary
San Jose,Vancouver,2,5,San Jose,Vancouver
Buffalo,Montreal,1,3,Montreal,Montreal
New Jersey,Nashville,5,6,New Jersey,Nashville
Arizona,Los Angeles,2,3,Arizona,Los Angeles
Buffalo,Montreal,1,3,Montreal,Montreal
New Jersey,Nashville,5,6,New Jersey,Nashville
Arizona,Los Angeles,2,3,Arizona,Los Angeles
NY Rangers,Detroit,4,2,NY Rangers,NY Rangers
Pittsburgh,Philadelphia,4,3,Pittsburgh,Pittsburgh
Ottawa,Washington,3,5,Ottawa,Washington
Carolina,Vegas,3,4,Carolina,Vegas
